Time (s),Device ID,Source Cell ID,Destination Cell ID
436s,58,5,5
436s,61,9,9
437s,21,5,5
437s,34,9,9
437s,65,7,7
437s,84,3,3
438s,21,1,1
439s,7,11,11
439s,22,4,4
439s,23,18,18
439s,46,13,13
439s,54,4,4
440s,13,13,13
440s,22,8,8
441s,3,14,14
441s,34,15,15
441s,85,14,14
442s,82,14,14
443s,3,15,15
443s,85,5,5
444s,26,16,16
444s,34,9,9
444s,71,11,11
444s,82,19,19
445s,54,7,7
446s,7,17,17
446s,21,5,5
446s,95,16,16
447s,20,10,10
447s,94,7,7
448s,22,4,4
449s,17,17,17
449s,21,1,1
450s,4,18,18
450s,22,8,8
450s,65,4,4
451s,19,14,14
451s,25,11,11
451s,40,13,13
451s,82,14,14
451s,84,11,11
451s,94,4,4
451s,99,10,10
452s,1,12,12
452s,21,5,5
452s,24,14,14
452s,25,10,10
452s,58,14,14
452s,94,7,7
453s,43,1,1
453s,58,5,5
453s,71,10,10
454s,21,1,1
454s,85,14,14
455s,4,2,2
455s,21,5,5
455s,24,15,15
455s,26,17,17
455s,58,14,14
456s,4,17,17
457s,85,5,5
458s,1,3,3
458s,23,11,11
458s,58,5,5
458s,66,10,10
459s,21,1,1
459s,25,11,11
459s,54,4,4
460s,96,18,18
461s,43,4,4
461s,63,4,4
462s,43,1,1
464s,26,16,16
464s,47,2,2
464s,96,2,2
465s,86,13,13
465s,94,1,1
466s,11,1,1
467s,1,13,13
468s,86,5,5
468s,89,5,5
468s,94,7,7
469s,21,5,5
469s,64,9,9
471s,23,18,18
471s,85,14,14
472s,5,19,19
472s,43,4,4
472s,85,5,5
474s,34,15,15
476s,75,6,6
477s,34,9,9
477s,54,1,1
478s,71,11,11
478s,96,18,18
478s,98,14,14
480s,11,5,5
480s,26,17,17
480s,89,13,13
481s,17,2,2
481s,34,15,15
481s,44,10,10
481s,94,1,1
481s,99,7,7
482s,14,17,17
482s,47,17,17
483s,14,18,18
483s,96,2,2
484s,11,1,1
484s,25,10,10
484s,94,7,7
485s,11,5,5
485s,47,2,2
486s,21,6,6
486s,89,5,5
487s,14,17,17
487s,25,11,11
487s,44,15,15
487s,50,4,4
488s,44,10,10
488s,45,10,10
490s,47,17,17
490s,86,13,13
490s,96,18,18
491s,8,2,2
491s,21,5,5
491s,44,15,15
492s,21,6,6
492s,52,15,15
493s,21,5,5
493s,63,9,9
493s,83,8,8
494s,1,3,3
494s,94,1,1
495s,3,14,14
495s,96,2,2
496s,22,19,19
496s,32,19,19
496s,80,2,2
496s,96,18,18
497s,80,1,1
498s,3,15,15
498s,22,8,8
498s,32,8,8
498s,44,10,10
499s,8,1,1
499s,32,19,19
500s,25,10,10
500s,63,4,4
500s,96,17,17
501s,8,2,2
501s,96,2,2
502s,17,17,17
503s,22,19,19
503s,32,8,8
503s,86,5,5
503s,98,19,19
504s,1,12,12
504s,96,17,17
505s,25,11,11
505s,81,4,4
506s,45,9,9
507s,80,6,6
507s,92,14,14
509s,0,3,3
509s,11,3,3
509s,47,6,6
509s,92,10,10
509s,98,14,14
510s,20,18,18
510s,45,10,10
510s,63,9,9
510s,71,10,10
510s,81,2,2
510s,92,14,14
511s,0,13,13
511s,17,2,2
511s,20,10,10
511s,80,2,2
511s,81,4,4
511s,96,18,18
512s,5,18,18
512s,17,17,17
512s,79,6,6
512s,98,19,19
513s,11,5,5
513s,71,11,11
513s,79,17,17
513s,86,13,13
515s,11,1,1
515s,44,15,15
515s,47,17,17
515s,96,17,17
516s,44,10,10
516s,81,2,2
516s,96,18,18
516s,98,14,14
517s,64,15,15
517s,98,19,19
518s,57,6,6
519s,1,3,3
519s,76,12,12
520s,57,1,1
520s,89,14,14
522s,63,4,4
522s,72,1,1
522s,76,8,8
523s,63,9,9
524s,22,8,8
524s,35,7,7
524s,45,9,9
524s,64,10,10
525s,22,19,19
526s,81,4,4
527s,22,8,8
527s,41,13,13
527s,72,5,5
527s,81,2,2
528s,39,17,17
529s,5,19,19
529s,20,18,18
529s,32,13,13
529s,51,12,12
530s,32,8,8
530s,92,10,10
530s,96,17,17
531s,0,3,3
531s,17,2,2
531s,41,14,14
531s,57,6,6
531s,64,9,9
531s,92,14,14
532s,57,1,1
532s,72,3,3
533s,17,17,17
533s,35,4,4
533s,39,6,6
534s,0,13,13
534s,47,6,6
534s,51,8,8
534s,72,1,1
535s,1,12,12
535s,22,19,19
535s,45,10,10
537s,41,19,19
537s,80,1,1
537s,98,13,13
537s,99,9,9
539s,38,19,19
539s,62,16,16
539s,67,15,15
540s,0,3,3
540s,20,10,10
540s,35,7,7
541s,7,12,12
541s,10,15,15
541s,54,4,4
543s,47,17,17
544s,63,4,4
545s,41,14,14
545s,80,6,6
546s,32,13,13
546s,45,9,9
546s,80,2,2
547s,1,3,3
548s,11,3,3
548s,23,11,11
549s,98,19,19
550s,47,6,6
551s,47,17,17
551s,80,6,6
552s,66,9,9
554s,23,18,18
554s,80,2,2
555s,63,9,9
555s,65,1,1
557s,80,1,1
558s,11,1,1
558s,29,14,14
558s,35,4,4
558s,41,19,19
558s,70,14,14
558s,96,18,18
558s,98,13,13
559s,41,14,14
559s,70,15,15
560s,83,13,13
560s,96,17,17
560s,98,19,19
561s,63,4,4
561s,80,2,2
561s,98,13,13
562s,1,12,12
562s,35,7,7
563s,82,13,13
563s,83,8,8
566s,5,18,18
566s,69,1,1
566s,74,2,2
568s,7,11,11
568s,11,3,3
568s,26,6,6
568s,32,8,8
568s,68,11,11
569s,7,12,12
569s,26,17,17
569s,34,9,9
570s,47,6,6
570s,57,6,6
570s,98,19,19
571s,29,19,19
571s,35,4,4
571s,39,2,2
571s,98,13,13
571s,99,7,7
