Time (s),Device ID,Source Cell ID,Destination Cell ID
813s,35,9,9
814s,71,7,7
816s,82,19,19
817s,3,15,15
818s,51,8,8
819s,24,15,15
819s,80,17,17
820s,3,10,10
820s,35,7,7
820s,54,1,1
820s,71,10,10
821s,19,19,19
821s,33,8,8
822s,29,14,14
822s,41,19,19
822s,44,15,15
822s,45,15,15
823s,35,9,9
823s,80,6,6
823s,88,6,6
824s,67,6,6
824s,82,14,14
825s,4,11,11
825s,82,19,19
826s,52,15,15
826s,70,10,10
826s,88,16,16
826s,95,6,6
827s,4,17,17
827s,35,7,7
827s,62,8,8
828s,67,15,15
829s,62,16,16
830s,93,18,18
831s,3,14,14
831s,43,1,1
831s,93,10,10
832s,80,17,17
836s,26,16,16
836s,64,7,7
836s,71,7,7
836s,77,8,8
836s,95,17,17
837s,24,5,5
837s,64,9,9
837s,80,2,2
838s,77,12,12
839s,19,18,18
839s,24,15,15
840s,19,19,19
841s,3,15,15
841s,90,18,18
845s,78,13,13
846s,27,12,12
847s,7,3,3
847s,15,18,18
847s,24,5,5
847s,93,18,18
848s,15,14,14
848s,43,7,7
849s,43,1,1
849s,76,4,4
849s,80,17,17
850s,0,17,17
850s,24,6,6
850s,26,17,17
850s,80,2,2
851s,24,5,5
852s,79,16,16
853s,82,14,14
854s,44,10,10
854s,82,19,19
854s,95,6,6
855s,46,8,8
855s,76,8,8
855s,95,17,17
856s,77,16,16
858s,26,16,16
859s,46,19,19
859s,86,14,14
860s,33,19,19
860s,46,8,8
860s,76,4,4
861s,19,18,18
861s,46,19,19
862s,46,8,8
862s,79,17,17
863s,78,14,14
863s,84,10,10
864s,24,6,6
865s,87,18,18
866s,3,14,14
866s,20,15,15
867s,20,10,10
867s,55,7,7
867s,86,13,13
868s,9,5,5
868s,17,2,2
868s,26,17,17
868s,84,11,11
869s,0,12,12
870s,17,18,18
870s,60,11,11
871s,60,3,3
872s,7,11,11
872s,9,1,1
872s,82,14,14
873s,45,9,9
873s,60,11,11
873s,84,7,7
874s,20,15,15
875s,19,19,19
875s,79,16,16
875s,80,6,6
875s,82,19,19
875s,86,14,14
876s,3,15,15
876s,68,11,11
876s,72,13,13
877s,17,2,2
877s,19,18,18
877s,55,1,1
878s,78,19,19
879s,23,12,12
879s,46,19,19
879s,79,17,17
879s,80,2,2
880s,29,13,13
880s,79,16,16
881s,7,3,3
882s,20,10,10
882s,52,10,10
883s,3,14,14
883s,52,15,15
884s,68,12,12
885s,60,3,3
885s,82,14,14
886s,78,14,14
886s,82,19,19
887s,29,14,14
888s,6,17,17
888s,23,17,17
888s,38,2,2
890s,2,5,5
890s,9,5,5
891s,23,12,12
891s,55,3,3
891s,60,11,11
891s,75,6,6
892s,15,18,18
892s,27,17,17
892s,60,3,3
894s,19,14,14
894s,27,12,12
894s,50,8,8
894s,89,19,19
895s,49,17,17
896s,6,11,11
896s,49,12,12
896s,72,3,3
896s,86,13,13
897s,7,11,11
898s,19,18,18
899s,2,14,14
899s,79,17,17
